"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"223",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"224",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"225",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",5,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0
"228",0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"229",2,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0
"230",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0
"232",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0
"234",0,5,1,0,1,0,0,0,0,0,2,0,0,0,3,0
"235",14,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
"236",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237",18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"238",4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"239",5,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0
"240",2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"241",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"242",7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"243",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244",2,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0
"245",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"246",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"247",0,160,0,0,2,2,0,0,0,0,0,1,0,0,0,0
"248",0,58,0,0,0,6,0,0,0,1,0,0,0,0,7,0
"249",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"250",0,0,0,0,0,0,16,0,0,18,0,0,0,0,0,0
"251",0,0,0,0,0,0,1,5,0,7,0,0,0,0,2,0
"252",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"253",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"254",0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
"255",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"256",5,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0
"257",1,0,0,0,0,0,0,2,0,4,0,0,0,0,4,0
"258",6,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0
"259",0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0
"260",0,0,0,0,0,0,0,0,4,10,1,0,0,0,4,0
"261",1,4,0,0,0,0,0,0,2,3,0,0,0,0,9,0
"262",1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
"263",1,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"264",0,38,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"265",0,43,0,0,1,7,0,0,1,0,0,0,0,0,1,0
"266",19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"267",5,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0
"268",0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
"269",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",1,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0
"271",1,0,1,0,0,0,0,0,2,0,1,3,0,0,1,0
"272",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"273",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
