"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"203",0,19,0,0,0,0,0,0,0,0,1,0,0,0,16,0
"204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",0,11,0,0,0,6,0,2,0,0,0,1,0,0,36,1
"206",0,1,0,0,0,13,0,0,0,0,0,0,0,0,20,0
"207",0,6,0,0,0,4,0,1,0,1,0,0,0,0,3,0
"208",0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"209",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
"212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
"215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"216",0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2
"217",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"225",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"228",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"229",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"234",0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"235",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"243",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"244",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
