alcid,bufflehead,cormorant,dabbling duck,goldeneye,goose,grebe,gull,Harlequin duck,long-tailed duck,loon,merganser,ruddy duck,scaup,scoter,Z.UNK
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,84,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,5,0,0,0,0,2,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0
0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0
0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0
2,17,0,7,0,513,0,10,0,0,0,0,0,0,0,0
0,29,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,43,0,0,1,4,0,0,1,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
3,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,0,0,0,0,2,0,0,1,5,0,0,1,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,0,0,0,0,4,0,0,0,0,0,0,6,0
3,16,0,0,2,10,1,3,0,0,0,0,0,3,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1
29,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
