"","X","TransectGroup","SPECIES","Count.FF","Count.POV","Count.BM","Count.TC","Photo.ID","BSS.1","BSS.2","BSS.3","Glare.1","Glare.2","Glare.3","BH.W","BH.F","BH.WF","BH.FW","BH.2F1W","BH.B","BH.BW","BH.Piling","BH.P","BH.F1W","BH.M","BH.H","BH.R","Front","Rear","Fr.Det","Rr.Det","platform","Group","group"
"120","180","20120308_030 3","COLO",0,0,0,1,"0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","0","1","1","0 3","loon"
"121","181","20120308_030 3","UNLO",1,1,0,0,"4487","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","0 3","loon"
"122","182","20120308_030 4","UBWG",1,1,1,1,"4499","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","0 4","gull"
"123","183","20120308_032 1","SUSC",0,1,1,1,"4584","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 1","scoter"
"124","184","20120308_032 2","LTDU",3,2,0,1,"4600","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 2","long-tailed duck"
"125","185","20120308_032 3","LTDU",1,1,1,0,"4616","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 3","long-tailed duck"
"126","186","20120308_032 4","LTDU",1,0,0,0,"2531","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 4","long-tailed duck"
"127","187","20120308_032 5","LTDU",0,1,1,0,"4667","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","0","1","2 5","long-tailed duck"
"128","189","20120308_036 2","LTDU",1,1,1,1,"5327","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","6 2","long-tailed duck"
"129","215","20120308_040 4","UNCO",10,10,10,12,"5945","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","0 4","cormorant"
"130","216","20120308_040 4","UNGU",1,1,1,1,"5945","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","0 4","gull"
"131","228","20120308_040 8","UNME",0,15,0,0,"6016","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","0 8","merganser"
"132","231","20120308_042 1","LTDU",1,1,0,0,"6068","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 1","long-tailed duck"
"133","232","20120308_042 2","LTDU",2,2,2,2,"6072","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 2","long-tailed duck"
"134","233","20120308_042 3","LTDU",1,0,0,0,"3425","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 3","long-tailed duck"
"135","234","20120308_043 1","SUSC",3,3,3,3,"6293","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 1","scoter"
"136","235","20120308_043 2","WWSC",2,2,0,2,"6308","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 2","scoter"
"137","236","20120308_043 3","SUSC",1,1,1,1,"6315","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 3","scoter"
"138","237","20120308_043 4","WWSC",5,3,5,5,"6320","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 4","scoter"
"139","238","20120308_043 5","SUSC",38,38,21,35,"6330","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 5","scoter"
"140","239","20120308_043 5","UNSC",0,0,31,0,"0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","0","1","3 5","scoter"
"141","240","20120308_043 5","WWSC",11,11,0,0,"6329","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 5","scoter"
"142","244","20120308_044 3","BUFF",3,3,3,3,"6403","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","4 3","bufflehead"
